Permutation 1: Alice, Bob, Cindy, Dick, Eacy
Permutation 105: Eacy, Cindy, Dick, Bob, Alice
Permutation 106: Eacy, Cindy, Dick, Alice, Bob
Permutation 107: Eacy, Cindy, Alice, Dick, Bob
Permutation 108: Eacy, Cindy, Alice, Bob, Dick
Permutation 109: Eacy, Dick, Cindy, Bob, Alice
Permutation 110: Eacy, Dick, Cindy, Alice, Bob
Permutation 111: Eacy, Dick, Bob, Cindy, Alice
Permutation 112: Eacy, Dick, Bob, Alice, Cindy
Permutation 113: Eacy, Dick, Alice, Bob, Cindy
Permutation 114: Eacy, Dick, Alice, Cindy, Bob
Permutation 115: Eacy, Alice, Cindy, Dick, Bob
Permutation 116: Eacy, Alice, Cindy, Bob, Dick
Permutation 117: Eacy, Alice, Dick, Cindy, Bob
Permutation 118: Eacy, Alice, Dick, Bob, Cindy
Permutation 119: Eacy, Alice, Bob, Dick, Cindy
Permutation 120: Eacy, Alice, Bob, Cindy, Dick
Total permutations: 120
